                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8616,                 2.2205,                 1.9376,                0.43129,                0.40311,                0.41589,                0.18835,                 2.0128,                 1.6112,                 2.1288,             0.00022129,             0.00022129,             0.00022129
                      2,                 1.7217,                 1.5049,                    1.8,                0.67734,                0.39394,                0.43728,                0.19297,                 2.0234,                 1.6194,                 2.0859,               0.000439,               0.000439,               0.000439
                      3,                 1.6953,                 1.4226,                 1.7632,                0.63891,                0.41298,                0.43764,                0.20058,                 1.9765,                 1.5193,                 2.1054,             0.00065208,             0.00065208,             0.00065208
                      4,                  1.673,                 1.3712,                 1.7535,                0.46388,                0.45737,                0.46999,                0.21637,                 1.9583,                 1.4631,                 2.0861,             0.00064615,             0.00064615,             0.00064615
                      5,                  1.631,                 1.2857,                 1.7236,                0.61964,                0.41277,                0.48847,                0.22194,                 1.9469,                 1.3593,                 2.0635,              0.0006392,              0.0006392,              0.0006392
                      6,                 1.6074,                 1.2638,                 1.7024,                0.70892,                0.44216,                0.47261,                0.21558,                 1.9166,                  1.381,                 2.0407,             0.00063225,             0.00063225,             0.00063225
                      7,                 1.5732,                 1.2147,                 1.6773,                0.61856,                0.49912,                0.50431,                   0.23,                 1.9329,                 1.3178,                 2.0645,             0.00062529,             0.00062529,             0.00062529
                      8,                 1.5475,                 1.1795,                 1.6521,                0.60424,                0.48911,                  0.503,                0.23169,                 1.9057,                 1.3176,                 2.0176,             0.00061834,             0.00061834,             0.00061834
                      9,                 1.5212,                 1.1358,                 1.6327,                0.61557,                0.51305,                0.52091,                0.24212,                 1.8979,                 1.2574,                 2.0173,             0.00061139,             0.00061139,             0.00061139
                     10,                 1.4932,                  1.103,                  1.611,                0.51282,                0.47651,                0.49754,                0.23356,                 1.8709,                 1.2874,                 1.9836,             0.00060444,             0.00060444,             0.00060444
                     11,                 1.4856,                 1.0895,                 1.5996,                0.68485,                 0.5193,                0.54743,                0.24977,                 1.8944,                 1.2347,                 2.0172,             0.00059749,             0.00059749,             0.00059749
                     12,                 1.4703,                 1.0708,                 1.5926,                0.61285,                  0.488,                0.50909,                0.23789,                  1.928,                 1.2536,                 2.0292,             0.00059054,             0.00059054,             0.00059054
                     13,                 1.4546,                 1.0349,                 1.5735,                  0.484,                 0.4942,                0.51363,                0.24023,                 1.9363,                 1.2044,                 2.0627,             0.00058359,             0.00058359,             0.00058359
                     14,                 1.4368,                 1.0147,                 1.5657,                0.58471,                0.52902,                0.53641,                0.24713,                 1.9165,                 1.2153,                 2.0342,             0.00057664,             0.00057664,             0.00057664
                     15,                 1.4225,                0.99458,                 1.5454,                0.56097,                0.49224,                0.52278,                0.24496,                 1.9251,                 1.1946,                 2.0461,             0.00056969,             0.00056969,             0.00056969
                     16,                 1.3986,                0.97701,                 1.5327,                0.69362,                0.49983,                0.54493,                0.25624,                 1.9038,                 1.1868,                 2.0285,             0.00056274,             0.00056274,             0.00056274
                     17,                 1.3881,                0.95218,                 1.5181,                0.61888,                0.49091,                0.52465,                0.24112,                 1.9529,                  1.181,                 2.0554,             0.00055579,             0.00055579,             0.00055579
                     18,                 1.3729,                0.93569,                 1.5058,                0.57765,                0.55362,                0.57405,                0.26933,                 1.8804,                 1.1951,                  1.995,             0.00054884,             0.00054884,             0.00054884
                     19,                 1.3628,                0.91434,                 1.4962,                0.64286,                0.50748,                0.54182,                0.25377,                 1.9076,                 1.2036,                  2.056,             0.00054188,             0.00054188,             0.00054188
                     20,                 1.3507,                0.90263,                 1.4944,                0.74324,                0.50806,                 0.5544,                 0.2531,                 1.9136,                 1.1555,                 2.0372,             0.00053493,             0.00053493,             0.00053493
                     21,                 1.3456,                0.88005,                 1.4774,                0.58481,                0.57153,                0.55867,                0.26545,                 1.8853,                 1.1815,                 2.0093,             0.00052798,             0.00052798,             0.00052798
                     22,                 1.3178,                0.86651,                 1.4616,                0.62574,                0.53537,                0.54897,                0.26401,                 1.9031,                 1.1931,                  2.006,             0.00052103,             0.00052103,             0.00052103
                     23,                 1.3151,                 0.8577,                 1.4557,                0.56362,                 0.5676,                0.56023,                0.25911,                 1.9367,                 1.1894,                 2.0635,             0.00051408,             0.00051408,             0.00051408
                     24,                 1.3011,                0.84244,                 1.4507,                0.50911,                0.50953,                0.51549,                0.24484,                 1.9462,                 1.1591,                 2.0844,             0.00050713,             0.00050713,             0.00050713
                     25,                 1.2816,                0.82304,                 1.4326,                0.75512,                0.48133,                0.52677,                0.24902,                 1.9232,                 1.1772,                 2.0509,             0.00050018,             0.00050018,             0.00050018
                     26,                 1.2813,                0.81817,                 1.4334,                0.53468,                0.52118,                0.52824,                 0.2545,                 1.9554,                  1.182,                 2.0697,             0.00049323,             0.00049323,             0.00049323
                     27,                 1.2605,                0.80221,                 1.4177,                0.54253,                0.52395,                0.53336,                0.25674,                 1.9426,                 1.2006,                 2.1049,             0.00048628,             0.00048628,             0.00048628
                     28,                 1.2544,                0.79789,                 1.4166,                0.62481,                 0.5174,                0.53026,                0.25618,                 1.9216,                 1.1531,                 2.0431,             0.00047933,             0.00047933,             0.00047933
                     29,                 1.2438,                0.78003,                 1.4024,                0.72451,                0.51685,                0.54374,                0.25628,                 1.9581,                 1.1648,                 2.0974,             0.00047238,             0.00047238,             0.00047238
                     30,                 1.2388,                0.77597,                 1.4076,                0.58132,                0.55479,                0.54485,                 0.2588,                 1.9585,                 1.1435,                 2.0933,             0.00046543,             0.00046543,             0.00046543
                     31,                 1.2337,                0.75493,                 1.3974,                0.62271,                0.55439,                0.55774,                0.26357,                 1.9203,                 1.1221,                 2.0895,             0.00045847,             0.00045847,             0.00045847
                     32,                 1.2179,                0.74985,                 1.3826,                0.53185,                0.53591,                0.53728,                0.25296,                 1.9333,                 1.1453,                   2.11,             0.00045152,             0.00045152,             0.00045152
                     33,                 1.2077,                 0.7504,                 1.3894,                0.62347,                0.52204,                0.52969,                0.25171,                 1.9277,                 1.1821,                 2.0717,             0.00044457,             0.00044457,             0.00044457
                     34,                 1.2105,                0.73584,                 1.3732,                 0.5725,                0.57679,                0.55535,                0.26285,                 1.9198,                 1.1905,                 2.0969,             0.00043762,             0.00043762,             0.00043762
